"source_code","source_display","target_code","target_display"
"snomed_3658006","Infancy","3658006","Infancy"
"snomed_713153009","Toddler","713153009","Toddler"
"snomed_255398004","Childhood","255398004","Childhood"
"snomed_263659003","Adolescence","263659003","Adolescence"
"snomed_41847000","Adulthood","41847000","Adulthood"
"snomed_303112003","Fetal period","303112003","Fetal period"
"snomed_419099009","Dead","419099009","Dead"
"snomed_261665006","Unknown","261665006","Unknown"
