"source_code","source_display","target_code","target_display"
"snomed_446141000124107","Female gender identity","female","Female gender identity"
"snomed_446151000124109","Male gender identity","male","Male gender identity"
"snomed_394743007","Gender unknown","unknown","Gender unknown"
"snomed_33791000087105","Identifies as nonbinary gender","other","Identifies as nonbinary gender"
"snomed_1220561009","Not recorded","unknown","Not recorded"
