"source_code","source_display","target_code","target_display"
"snomed_248152002","Female","LA3-6","Female"
"snomed_248153007","Male","LA2-8","Male"
"snomed_184115007","Patient sex unknown","LA4489-6","Patient sex unknown"
"snomed_32570691000036108","Intersex","32570691000036108","Intersex"
"snomed_1220561009","Not recorded","1220561009","Not recorded"
